message,is_smsing,safe_info,domain_old_info,is_ip,url_length,number_of_subdomains,is_https,special_characters,tlds_blackist,make_redirection,creation_date,updated_date,is_suspended,count_dictionary
"¡Sorprendete esta Navidad en GAES! Una MANTA y un CALENDARIO de REGALO al revisar tu audicion. Hasta 15/12/23. Cita http://t6.mc.amplifon.com/r/?id=s1d5f83f7,360f71ad,10cc991d No+publi 90010221",,0,0,0,59,2,0,1,0,1,1997/11/17,2023/11/17,0,2
GANADOR Mayte! Tienes 2000 EUR listos en tu cuenta. Debes reclamarlo en 24 horas http://inacuc.com/j0qkLZ7,,0,114,0,25,0,0,0,0,0,2023/11/06,2023/11/06,0,2
CAJAMAR: CONFIRME SU CAMBIO DE CONTRASEÑA DE USUARIO DE BANCA ELECTRONICA CON LA CLAVE F87E8B,,0,114,0,25,0,0,0,0,0,2023/11/06,2023/11/06,0,3
"Recordatorio: Hola, Mayte, su paquete aun esta en el punto de entrega! Evite que sea el reverso de la direccion del remitente: eheras.com/34PtfEO",,0,126,0,18,0,0,0,0,0,2023/10/25,2023/10/25,0,2
"¡Alerta de Seguridad! Detectamos un intento sospechoso de acceso a tu cuenta BancariaXYZ. Por favor, verifica tu identidad ahora para evitar la suspensión de tu cuenta. Visita http://inacuc.com/j0qkLZ7 para confirmar.",,0,114,0,25,0,0,0,0,0,2023/11/06,2023/11/06,0,7
¡Paquete en Espera! Tu envío de ServicioExpress está pendiente de entrega. Se requiere una pequeña tarifa adicional para completar el envío. Haz clic nfllf.info/48RQXwI para pagar y confirmar tu dirección:,,0,114,0,18,0,0,0,1,0,2023/11/06,2023/11/11,0,7
Lo estabas esperando! Comprando uno de estos arboles de Navidad lmes.es/arb3 tendras un -15% en adornos y figuras. ¡Solo hasta 10 Diciembre! lmes.es/bajasms,,0,0,0,12,0,0,0,0,1,None,None,None,0
Notificación Importante: Tu paquete está en camino y será entregado pronto. Verifica la dirección de entrega actualizando tus preferencias.  No es necesario responder.,,0,0,0,12,0,0,0,0,1,None,None,None,5
iGANADOR Mayte! Tienes 2000 EUR listos en tu cuenta. Debes reclamarlo en 24 horas http://inacuc.com/j0qkLZ7,,0,114,0,25,0,0,0,0,0,2023/11/06,2023/11/06,0,1
"hola mama/papa, mi otro telefono esta roto. este es el nuevo numero. enviame un mensaje a traves de whatsapp wa.me/+34625825445",,0,5332,0,18,0,0,1,0,1,2009/07/24,2023/08/01,None,1
